Team Code,Game Code,Rush Att,Rush Yard,Rush TD,Pass Att,Pass Comp,Pass Yard,Pass TD,Pass Int,Pass Conv,Kickoff Ret,Kickoff Ret Yard,Kickoff Ret TD,Punt Ret,Punt Ret Yard,Punt Ret TD,Fum Ret,Fum Ret Yard,Fum Ret TD,Int Ret,Int Ret Yard,Int Ret TD,Misc Ret,Misc Ret Yard,Misc Ret TD,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal
709,TOLEDOMIZZOU20140906,32,152,3,44,23,255,0,1,NA,4,NA,0,6,NA,0,0,NA,0,1,NA,0,0,NA,0,2,1,3,3,0,0,0,0,0,24,9,NA,5,0,4,NA,NA,3,0,NA,NA,0,0,3,-31,NA,1,NA,0,6,11,4,2450,NA,NA,18,6,0,0,NA,2,0
434,TOLEDOMIZZOU20140906,47,174,2,33,21,348,5,1,NA,1,NA,0,9,NA,0,0,NA,0,1,NA,0,0,NA,0,0,0,7,7,0,0,0,0,0,49,6,NA,8,0,4,NA,NA,1,0,NA,NA,1,-3,2,-10,NA,3,NA,0,8,12,2,1957,NA,NA,17,7,0,0,NA,6,0
229,BAMAFAU20140906,24,59,0,19,12,88,0,0,NA,6,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,7,NA,1,0,0,NA,NA,1,1,NA,NA,2,-1,3,-31,NA,1,NA,0,3,4,3,1401,NA,NA,10,2,2,0,NA,0,0
8,BAMAFAU20140906,33,207,2,37,26,415,3,0,NA,1,NA,0,7,NA,0,0,NA,0,0,NA,0,0,NA,0,2,2,5,5,0,0,0,0,0,41,0,NA,8,0,2,NA,NA,1,1,NA,NA,4,-32,1,-5,NA,1,NA,0,9,14,1,-508,NA,NA,12,5,1,1,NA,3,2
311,IOWASTKSTATE20140906,37,106,1,33,22,214,2,1,NA,5,NA,0,5,NA,1,0,NA,0,0,NA,0,0,NA,0,0,0,4,4,0,0,2,0,0,28,5,NA,5,0,1,NA,NA,0,0,NA,NA,2,-5,2,-16,NA,0,NA,0,6,11,1,1750,NA,NA,13,3,3,1,NA,2,0
327,IOWASTKSTATE20140906,41,235,4,29,16,240,0,0,NA,4,NA,0,5,NA,0,0,NA,0,1,NA,0,0,NA,0,2,2,2,2,2,0,0,0,0,32,5,NA,7,0,2,NA,NA,0,0,NA,NA,2,-5,3,-5,NA,0,NA,0,12,9,4,2640,NA,NA,14,6,1,0,NA,4,1
402,NEBMCN20140906,43,173,2,26,12,160,0,1,NA,4,NA,0,6,NA,0,0,NA,0,1,NA,1,0,NA,0,1,1,3,3,0,0,0,0,0,24,7,NA,5,0,0,NA,NA,0,0,NA,NA,1,-2,1,-2,NA,1,NA,0,6,7,2,3853,NA,NA,17,4,2,2,NA,2,1
463,NEBMCN20140906,32,193,2,31,17,340,2,1,NA,5,NA,0,7,NA,0,0,NA,0,1,NA,0,0,NA,0,1,1,4,4,0,0,0,0,0,31,6,NA,6,0,2,NA,NA,1,0,NA,NA,1,-2,1,-2,NA,0,NA,0,7,7,2,1462,NA,NA,13,2,2,0,NA,2,1
719,TULSAOKLA20140906,34,106,0,50,28,272,1,3,NA,4,NA,0,6,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,1,1,0,0,0,0,0,7,8,NA,2,0,0,NA,NA,2,2,NA,NA,2,-7,3,-21,NA,0,NA,0,6,13,2,-441,NA,NA,20,5,3,1,NA,1,0
522,TULSAOKLA20140906,30,252,4,38,23,319,2,0,NA,2,NA,0,8,NA,0,0,NA,0,3,NA,1,0,NA,0,1,1,7,7,0,0,0,0,0,52,6,NA,9,0,5,NA,NA,0,0,NA,NA,1,-7,1,-11,NA,2,NA,0,6,12,4,1335,NA,NA,14,5,0,0,NA,3,0
