"Game Code","Play Number","Team Code","Player Code","Attempt","Yards","Touchdown","1st Down","Sack","Fumble","Fumble Lost","Safety"
0299004720130829,2,299,1052440,1,3,0,0,0,0,0,0
0299004720130829,4,299,1031285,1,2,0,1,0,0,0,0
0299004720130829,5,299,1032179,1,16,0,1,0,0,0,0
0299004720130829,7,299,1052434,1,1,0,0,0,0,0,0
0299004720130829,9,299,1052434,1,9,0,0,0,0,0,0
0299004720130829,10,299,1052434,1,10,0,1,0,0,0,0
0299004720130829,11,299,1031285,1,1,1,0,0,0,0,0
0299004720130829,15,47,1038686,1,4,0,1,0,0,0,0
0299004720130829,17,47,1038686,1,0,0,0,0,0,0,0
0299004720130829,20,47,1038687,1,9,0,0,0,0,0,0
0299004720130829,22,47,1038686,1,15,0,1,0,0,0,0
0299004720130829,23,47,1031106,1,1,1,0,0,0,0,0
0299004720130829,26,299,1052440,1,1,0,0,0,0,0,0
0299004720130829,27,299,1052440,1,-1,0,0,0,0,0,0
0299004720130829,29,299,1052434,1,4,0,0,0,0,0,0
0299004720130829,34,47,1038686,1,-2,0,0,0,0,0,0
0299004720130829,39,299,1052443,1,2,0,0,0,0,0,0
0299004720130829,45,47,1031106,1,-9,0,0,1,0,0,0
0299004720130829,49,299,1052440,1,5,0,0,0,0,0,0
0299004720130829,50,299,1052443,1,2,0,0,0,0,0,0
0299004720130829,54,47,1038686,1,4,0,0,0,0,0,0
0299004720130829,57,47,1038686,1,-1,0,0,0,0,0,0
0299004720130829,58,47,1038686,1,1,0,0,0,0,0,0
0299004720130829,62,299,1031285,1,3,0,0,0,0,0,0
0299004720130829,63,299,1032179,1,-6,0,0,1,0,0,0
0299004720130829,65,299,1052443,1,3,0,0,0,0,0,0
0299004720130829,67,299,1052434,1,4,0,0,0,0,0,0
0299004720130829,68,299,1032179,1,-12,0,0,1,0,0,0
0299004720130829,71,47,1054407,1,5,0,0,0,0,0,0
0299004720130829,75,299,1052440,1,0,0,0,0,0,0,0
0299004720130829,76,299,1052440,1,13,0,1,0,0,0,0
0299004720130829,84,47,1031106,1,-3,0,0,1,0,0,0
0299004720130829,88,47,1038687,1,5,0,0,0,0,0,0
0299004720130829,96,47,1031106,1,-2,0,0,0,1,0,0
0299004720130829,102,47,1031106,1,-6,0,0,1,0,0,0
0299004720130829,110,299,1031285,1,1,0,0,0,0,0,0
0299004720130829,111,299,1052443,1,5,0,0,0,0,0,0
0299004720130829,112,299,1052443,1,9,0,1,0,0,0,0
0299004720130829,113,299,1052443,1,-2,0,0,0,0,0,0
0299004720130829,114,299,1052434,1,-2,0,0,0,0,0,0
0299004720130829,115,299,1032179,1,3,0,0,0,0,0,0
0299004720130829,117,47,1038687,1,4,0,0,0,0,0,0
0299004720130829,118,47,1038687,1,4,0,0,0,0,0,0
0299004720130829,124,299,1052434,1,-2,0,0,0,0,0,0
0299004720130829,125,299,1052434,1,8,0,0,0,0,0,0
0299004720130829,128,47,1038686,1,3,0,0,0,0,0,0
0299004720130829,132,299,1052434,1,-3,0,0,0,0,0,0
0299004720130829,135,47,1038687,1,1,0,0,0,0,0,0
0299004720130829,138,47,1038687,1,0,0,0,0,0,0,0
0299004720130829,139,47,1031106,1,3,1,0,0,0,0,0
0299004720130829,142,299,1052440,1,-6,0,0,0,0,0,0
0299004720130829,145,299,1031285,1,1,0,1,0,0,0,0
0299004720130829,148,299,1052443,1,2,0,0,0,0,0,0
0299004720130829,153,47,1038686,1,3,0,0,0,0,0,0
0299004720130829,155,47,1038686,1,3,0,0,0,0,0,0
0299004720130829,156,47,1038686,1,9,0,1,0,0,0,0
0299004720130829,157,47,1038686,1,2,0,0,0,0,0,0
0299004720130829,160,47,1038687,1,4,0,0,0,0,0,0
0299004720130829,161,47,1038687,1,3,0,0,0,0,0,0
0299004720130829,163,47,1038687,1,12,0,1,0,0,0,0
0299004720130829,164,47,1038687,1,1,1,0,0,0,0,0
0299004720130829,173,47,1038686,1,2,0,0,0,0,0,0
0299004720130829,174,47,1038686,1,6,1,0,0,0,0,0
0299004720130829,180,299,1052443,1,-2,0,0,0,0,0,0
0299004720130829,184,299,1031285,1,3,0,0,0,0,0,0
0299004720130829,185,299,1031285,1,-3,0,0,0,0,0,0
0299004720130829,187,299,1031285,1,2,1,0,0,0,0,0
0299004720130829,190,47,66566,1,-1,0,0,0,0,0,0
0719007120130829,3,719,1034470,1,2,0,0,0,0,0,0
0719007120130829,6,71,1038802,1,6,0,0,0,0,0,0
0719007120130829,7,71,1038802,1,4,0,1,0,0,0,0
0719007120130829,12,71,1038802,1,4,0,0,0,0,0,0
0719007120130829,13,71,1038802,1,-4,0,0,0,0,0,0
0719007120130829,16,719,1034470,1,0,0,0,0,0,0,0
0719007120130829,18,719,1034470,1,7,0,0,0,0,0,0
0719007120130829,20,71,1038802,1,5,0,0,0,0,0,0
0719007120130829,21,71,1038802,1,-1,0,0,0,0,0,0
0719007120130829,25,719,1034470,1,1,0,0,0,0,0,0
0719007120130829,31,71,1038802,1,5,0,0,0,0,0,0
0719007120130829,33,71,1038801,1,5,0,0,0,0,0,0
0719007120130829,35,71,1038802,1,1,0,0,0,0,0,0
0719007120130829,43,719,1034470,1,6,0,1,0,0,0,0
0719007120130829,44,719,1034470,1,3,0,0,0,0,0,0
0719007120130829,45,719,1034470,1,2,0,0,0,0,0,0
0719007120130829,47,719,1025067,1,2,0,0,0,0,0,0
0719007120130829,53,71,1038802,1,3,0,0,0,0,0,0
0719007120130829,54,71,1038801,1,8,0,1,0,0,0,0
0719007120130829,55,71,1038801,1,-3,0,0,1,0,0,0
0719007120130829,59,719,1025067,1,7,0,0,0,0,0,0
0719007120130829,60,719,1026585,1,7,0,1,0,0,0,0
0719007120130829,61,719,1025067,1,6,0,0,0,0,0,0
0719007120130829,62,719,1026585,1,2,0,0,0,0,0,0
0719007120130829,63,719,1025067,1,1,0,0,0,0,0,0
0719007120130829,66,71,1038802,1,4,0,0,0,0,0,0
0719007120130829,77,71,1054524,1,2,0,0,0,0,0,0
0719007120130829,78,71,1054524,1,7,0,0,0,0,0,0
0719007120130829,79,71,1038802,1,-1,0,0,0,0,0,0
0719007120130829,81,719,1057892,1,5,0,0,0,0,0,0
0719007120130829,83,719,1034470,1,-3,0,0,0,0,0,0
0719007120130829,85,719,1025067,1,-2,0,0,1,0,0,0
0719007120130829,87,71,1038802,1,6,0,0,0,0,0,0
0719007120130829,88,71,1038802,1,7,0,1,0,0,0,0
0719007120130829,89,71,1054529,1,5,0,0,0,0,0,0
0719007120130829,90,71,1038802,1,4,0,0,0,0,0,0
0719007120130829,91,71,1054524,1,1,0,1,0,0,0,0
0719007120130829,93,71,1038801,1,18,0,1,0,0,0,0
0719007120130829,95,71,1038801,1,10,0,1,0,0,0,0
0719007120130829,101,71,1038801,1,5,0,0,0,0,0,0
