"Game Code","Play Number","Team Code","Player Code","Reception","Yards","Touchdown","1st Down","Fumble","Fumble Lost","Safety"
0299004720130829,3,299,1052491,1,6,0,0,0,0,0
0299004720130829,6,299,1052431,1,12,0,1,0,0,0
0299004720130829,8,299,1052431,1,15,0,1,0,0,0
0299004720130829,14,47,1038686,1,7,0,0,0,0,0
0299004720130829,16,47,1046412,1,13,0,1,0,0,0
0299004720130829,18,47,1023171,1,26,0,1,0,0,0
0299004720130829,21,47,1023171,1,4,0,1,0,0,0
0299004720130829,28,299,1052491,1,24,0,1,0,0,0
0299004720130829,31,299,1058756,1,47,1,1,0,0,0
0299004720130829,36,47,1038681,1,7,0,0,0,0,0
0299004720130829,43,47,1038681,1,13,0,1,0,0,0
0299004720130829,47,47,1023171,1,16,0,0,0,0,0
0299004720130829,56,47,1038681,1,13,0,1,0,0,0
0299004720130829,59,47,1046412,1,5,0,0,0,0,0
0299004720130829,64,299,1052464,1,22,0,1,0,0,0
0299004720130829,66,299,1052431,1,9,0,1,0,0,0
0299004720130829,77,299,1052491,1,21,0,1,0,0,0
0299004720130829,78,299,1052436,1,29,0,1,0,0,0
0299004720130829,80,299,1052880,1,5,1,0,0,0,0
0299004720130829,85,47,1023171,1,17,0,1,0,0,0
0299004720130829,87,47,1046412,1,11,0,1,0,0,0
0299004720130829,91,47,1046412,1,12,0,1,0,0,0
0299004720130829,94,47,1038681,1,9,0,0,0,0,0
0299004720130829,95,47,1046411,1,8,0,1,0,0,0
0299004720130829,98,47,1046412,1,16,1,1,0,0,0
0299004720130829,103,47,1038681,1,50,0,1,0,0,0
0299004720130829,105,47,1046412,1,7,0,0,0,0,0
0299004720130829,107,47,1038681,1,9,1,1,0,0,0
0299004720130829,122,299,1052431,1,8,0,0,0,0,0
0299004720130829,129,47,1038681,1,40,1,1,0,0,0
0299004720130829,143,299,1052491,1,2,0,0,0,0,0
0299004720130829,144,299,1052441,1,13,0,0,0,0,0
0299004720130829,152,47,1046411,1,4,0,0,0,0,0
0299004720130829,154,47,1038681,1,23,0,1,0,0,0
0299004720130829,162,47,1023172,1,6,0,1,0,0,0
0299004720130829,170,47,1038681,1,0,0,0,0,0,0
0299004720130829,172,47,1023175,1,24,0,1,0,0,0
0299004720130829,177,299,1052462,1,15,0,1,0,0,0
0299004720130829,178,299,1052441,1,7,0,0,0,0,0
0299004720130829,179,299,1058756,1,18,0,1,0,0,0
0299004720130829,181,299,1052462,1,9,0,0,0,0,0
0299004720130829,182,299,1052441,1,7,0,1,0,0,0
0299004720130829,183,299,1052491,1,4,0,0,0,0,0
0299004720130829,186,299,1052441,1,9,0,1,0,0,0
0719007120130829,2,719,1041994,1,3,0,0,0,0,0
0719007120130829,10,71,1038805,1,12,0,1,0,0,0
0719007120130829,15,719,1026585,1,6,0,0,0,0,0
0719007120130829,28,71,1054529,1,18,0,1,0,0,0
0719007120130829,30,71,1023317,1,12,0,1,0,0,0
0719007120130829,41,719,1041994,1,10,0,0,0,0,0
0719007120130829,46,719,1026582,1,37,0,1,0,0,0
0719007120130829,52,71,1038813,1,13,0,1,0,0,0
0719007120130829,56,71,1038827,1,6,0,0,0,0,0
0719007120130829,65,71,1031258,1,21,0,1,0,0,0
0719007120130829,71,719,1041994,1,16,0,1,0,0,0
0719007120130829,73,719,1026585,1,4,0,0,0,0,0
0719007120130829,74,719,1026585,1,8,0,1,0,0,0
0719007120130829,75,719,1042016,1,16,0,0,1,1,0
