6.30073E+14,,630,726
,"San Jose wins toss, defers; Navy to receive and defend North",,
1st Quarter Play-by-Play,,,
Navy at 15:00,,SJSU,NAVY
,"Austin Lopez kickoff for 59 yds , Demond Brown return for 16 yds to the Navy 22",0,0
1st and 10 at NAVY 22,"Keenan Reynolds run for a loss of 2 yards to the Navy 18 Keenan Reynolds fumbled, recovered by SJSt Jimmy Pruitt",,
"NAVY DRIVE TOTALS: 1 play, -4 yards, 0:10",,,
San Jos\xe9 State at 14:50,,SJSU,NAVY
1st and 10 at NAVY 18,Tyler Ervin run for 10 yds to the Navy 8 for a 1ST down,0,0
1st and Goal at NAVY 8,Tyler Ervin run for a loss of 1 yard to the Navy 9,,
2nd and Goal at NAVY 9,Joe Gray pass incomplete to Tyler Winston,,
3rd and Goal at NAVY 9,Joe Gray pass intercepted Kwazel Bertrand return for 11 yds to the Navy 14,,
"SJSU DRIVE TOTALS: 4 plays, 9 yards, 1:09",,,
Navy at 13:41,,SJSU,NAVY
1st and 10 at NAVY 14,Keenan Reynolds pass complete to Jamir Tillman for 8 yds to the Navy 22,0,0
2nd and 2 at NAVY 22,Noah Copeland run for 3 yds to the Navy 25 for a 1ST down,,
1st and 10 at NAVY 25,Keenan Reynolds run for 1 yd to the Navy 26,,
2nd and 9 at NAVY 26,Keenan Reynolds run for 7 yds to the Navy 33,,
3rd and 2 at NAVY 33,Chris Swain run for 3 yds to the Navy 36 for a 1ST down,,
1st and 10 at NAVY 36,Keenan Reynolds run for a loss of 2 yards to the Navy 34,,
2nd and 12 at NAVY 34,Noah Copeland run for 3 yds to the Navy 37,,
3rd and 9 at NAVY 37,Keenan Reynolds run for 3 yds to the Navy 40,,
4th and 6 at NAVY 40,"Pablo Beltran punt for 43 yds , Tyler Ervin returns for a loss of 1 yard to the SJSt 16",,
"NAVY DRIVE TOTALS: 8 plays, 26 yards, 3:54",,,
San Jos\xe9 State at 9:47,,SJSU,NAVY
1st and 10 at SJSU 16,Tim Crawley run for 4 yds to the SJSt 20,0,0
2nd and 6 at SJSU 20,Joe Gray pass complete to Hansell Wilson for 9 yds to the SJSt 29 for a 1ST down,,
1st and 10 at SJSU 29,Joe Gray pass incomplete,,
2nd and 10 at SJSU 29,Tyler Ervin run for 5 yds to the SJSt 34,,
3rd and 5 at SJSU 34,Joe Gray pass complete to Tim Crawley for 5 yds to the SJSt 39 for a 1ST down,,
1st and 10 at SJSU 39,Tyler Ervin run for 1 yd to the SJSt 40,,
2nd and 9 at SJSU 40,Joe Gray pass incomplete,,
3rd and 9 at SJSU 40,"Joe Gray pass complete to Tim Crawley for 19 yds to the NAVY 41 for a 1ST down NAVY Penalty, Defensive offside (NA) declined for a 1ST down",,
1st and 10 at NAVY 41,Tyler Ervin run for 7 yds to the Navy 34,,
2nd and 3 at NAVY 34,Joe Gray pass complete to Tim Crawley for 7 yds to the Navy 27 for a 1ST down,,
1st and 10 at NAVY 27,Joe Gray pass complete to Tyler Winston for 11 yds to the Navy 16 for a 1ST down,,
1st and 10 at NAVY 16,Tyler Ervin run for a loss of 1 yard to the Navy 17,,
2nd and 11 at NAVY 17,Joe Gray pass complete to Tyler Winston for 7 yds to the Navy 10,,
3rd and 4 at NAVY 10,Tyler Ervin run for 6 yds to the Navy 4 for a 1ST down,,
1st and Goal at NAVY 4,Joe Gray pass incomplete,,
2nd and Goal at NAVY 4,Tyler Ervin run for 2 yds to the Navy 2,,
3rd and Goal at NAVY 2,Tyler Ervin run for a loss of 3 yards to the Navy 5,,
4th and Goal at NAVY 5,Austin Lopez 22 yd FG GOOD,3,0
"SJSU DRIVE TOTALS: 18 plays, 79 yards, 7:32",,,
Navy at 2:15,,SJSU,NAVY
,"Austin Lopez kickoff for 54 yds , Demond Brown return for 14 yds to the Navy 25",3,0
1st and 10 at NAVY 25,Keenan Reynolds pass complete to DeBrandon Sanders for 27 yds to the SJSt 48 for a 1ST down,,
1st and 10 at SJSU 48,Keenan Reynolds run for 8 yds to the SJSt 40,,
2nd and 2 at SJSU 40,Keenan Reynolds pass complete to Brandon Colon for 13 yds to the SJSt 27 for a 1ST down,,
1st and 10 at SJSU 27,Chris Swain run for 17 yds to the SJSt 10 for a 1ST down,,
1st and Goal at SJSU 10,Keenan Reynolds run for 4 yds to the SJSt 6,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play,,,
Navy at 15:00,,SJSU,NAVY
2nd and Goal at SJSU 6,"Noah Copeland run for 6 yds for a TD, (Austin Grebe KICK), (Austin Grebe KICK)",3,7
"NAVY DRIVE TOTALS: 6 plays, 75 yards, 2:18",,,
San Jos\xe9 State at 14:57,,SJSU,NAVY
,Austin Grebe kickoff for 65 yds for a touchback,3,7
1st and 10 at SJSU 25,Joe Gray pass complete to Jabari Carr for 12 yds to the SJSt 37 for a 1ST down,,
1st and 10 at SJSU 37,Tim Crawley run for 2 yds to the SJSt 39,,
2nd and 8 at SJSU 39,Joe Gray pass complete to Andrew Vollert for 9 yds to the SJSt 48 for a 1ST down,,
1st and 10 at SJSU 48,Joe Gray pass complete to Tyler Winston for 8 yds to the Navy 44,,
2nd and 2 at NAVY 44,Joe Gray pass complete to Tim Crawley for 3 yds to the Navy 41 for a 1ST down,,
1st and 10 at NAVY 41,Tyler Ervin run for 19 yds to the Navy 22 for a 1ST down,,
,"Timeout SAN JOS\xc9 ST, clock 11:50",,
1st and 10 at NAVY 22,Joe Gray pass complete to Billy Freeman for 10 yds to the Navy 12 for a 1ST down,,
1st and 10 at NAVY 12,Joe Gray pass complete to Tyler Winston for 6 yds to the Navy 6,,
2nd and 4 at NAVY 6,Joe Gray pass incomplete to Jabari Carr,,
3rd and 4 at NAVY 6,"Joe Gray pass complete to Billy Freeman for 6 yds for a TD, (Austin Lopez KICK)",10,7
"SJSU DRIVE TOTALS: 10 plays, 75 yards, 4:22",,,
Navy at 10:35,,SJSU,NAVY
,Austin Lopez kickoff for 65 yds for a touchback,10,7
1st and 10 at NAVY 25,Keenan Reynolds run for 4 yds to the Navy 29,,
2nd and 6 at NAVY 29,Dishan Romine run for 8 yds to the Navy 37 for a 1ST down,,
1st and 10 at NAVY 37,Keenan Reynolds run for 4 yds to the Navy 41,,
2nd and 6 at NAVY 41,Keenan Reynolds run for 47 yds to the SJSt 12 for a 1ST down,,
1st and 10 at SJSU 12,Keenan Reynolds run for 4 yds to the SJSt 8,,
