0698005120141011,,698,51
,"BAYLOR wins the coin toss, and will receive.",,
1st Quarter Play-by-Play
Baylor at 15:00,,TCU,BU
,"Jaden Oberkrom kickoff for 63 yds , Lynx Hawthorne return for 17 yds to the Bayl 19",0,0
1st and 10 at BAY 19,"Bryce Petty pass complete to u""Tre'Von Armstead"",  for 7 yds to the Bayl 26",,
2nd and 3 at BAY 26,Bryce Petty run for 2 yds to the Bayl 28,,
3rd and 1 at BAY 28,Bryce Petty pass complete to Levi Norwood for 6 yds to the Bayl 34 for a 1ST down,,
1st and 10 at BAY 34,Bryce Petty pass incomplete to Corey Coleman,,
2nd and 10 at BAY 34,Bryce Petty pass incomplete to KD Cannon,,
3rd and 10 at BAY 34,"BAYLOR Penalty, False Start (Jarell Broxton) to the Bayl 29",,
3rd and 15 at BAY 29,Bryce Petty run for 13 yds to the Bayl 42,,
4th and 2 at BAY 42,Corey Coleman run for 10 yds to the TCU 48 for a 1ST down,,
1st and 10 at TCU 48,Bryce Petty pass incomplete to Antwan Goodley,,
2nd and 10 at TCU 48,Bryce Petty pass complete to Jay Lee for 21 yds to the TCU 27 for a 1ST down,,
1st and 10 at TCU 27,Shock Linwood run for no gain to the TCU 27,,
2nd and 10 at TCU 27,Shock Linwood run for 1 yd to the TCU 26,,
3rd and 9 at TCU 26,Bryce Petty sacked by Paul Dawson for a loss of 7 yards to the TCU 33,,
4th and 16 at TCU 33,Bryce Petty pass incomplete,,
"BAY DRIVE TOTALS: 13 plays, 48 yards, 3:00"
TCU at 12:00,,TCU,BU
1st and 10 at TCU 33,"Trevone Boykinu"" pass complete to Deante' Gray for 8 yds to the TCU 41""",0,0
2nd and 2 at TCU 41,Trevone Boykin pass incomplete to Josh Doctson,,
3rd and 2 at TCU 41,"BAYLOR Penalty, Defensive Holding (Ryan Reid) to the Bayl 49 for a 1ST down",,
1st and 10 at BAY 49,B.J. Catalon run for 4 yds to the Bayl 45,,
2nd and 6 at BAY 45,Trevone Boykin run for 5 yds to the Bayl 40,,
3rd and 1 at BAY 40,B.J. Catalon run for 11 yds to the Bayl 29 for a 1ST down,,
1st and 10 at BAY 29,Trevone Boykin pass incomplete,,
2nd and 10 at BAY 29,Trevone Boykin sacked by Beau Blackshear for a loss of 6 yards to the Bayl 35,,
3rd and 16 at BAY 35,"Trevone Boykin pass complete to Kolby Listenbee for 35 yds for a TD, (Jaden Oberkrom KICK)",7,0
"TCU DRIVE TOTALS: 8 plays, 67 yards, 2:28"
Baylor at 9:32,,TCU,BU
,Jaden Oberkrom kickoff for 65 yds for a touchback,7,0
1st and 10 at BAY 25,"u""TCU Penalty, Defensive Pass Interference (Corry O'Meally) to the Bayl 40 for a 1ST down""",,
1st and 10 at BAY 40,Shock Linwood run for 1 yd to the Bayl 41,,
2nd and 9 at BAY 41,Bryce Petty pass complete to KD Cannon for 11 yds to the TCU 48 for a 1ST down,,
1st and 10 at TCU 48,Bryce Petty run for 7 yds to the TCU 41,,
2nd and 3 at TCU 41,"Shock Linwood run for 7 yds to the TCU 34 Shock Linwood fumbled, forced by Paul Dawson, recovered by TCU Mike Tuaua",,
"BAY DRIVE TOTALS: 4 plays, 41 yards, 1:11"
TCU at 8:21,,TCU,BU
1st and 10 at TCU 34,Trevone Boykin pass complete to Kolby Listenbee for 51 yds to the Bayl 15 for a 1ST down,7,0
1st and 10 at BAY 15,Trevone Boykin run for 12 yds to the Bayl 3 for a 1ST down,,
1st and Goal at BAY 3,"B.J. Catalon run for 3 yds for a TD, (Jaden Oberkrom KICK)",14,0
"TCU DRIVE TOTALS: 3 plays, 66 yards, 0:41"
Baylor at 7:40,,TCU,BU
,Jaden Oberkrom kickoff for 50 yds for a touchback,14,0
1st and 10 at BAY 25,Devin Chafin run for 3 yds to the Bayl 28,,
2nd and 7 at BAY 28,Bryce Petty pass incomplete to Jay Lee,,
3rd and 7 at BAY 28,Bryce Petty pass incomplete,,
4th and 7 at BAY 28,"Spencer Roth punt for 40 yds, punt out-of-bounds at the TCU 32",,
"BAY DRIVE TOTALS: 3 plays, 3 yards, 0:40"
TCU at 7:00,,TCU,BU
1st and 10 at TCU 32,Trevone Boykin pass incomplete to Kolby Listenbee,14,0
2nd and 10 at TCU 32,Trevone Boykin run for 1 yd to the TCU 33,,
