0522069820141004,,522,698
,"OKLAHOMA wins the coin toss, and defers. TCU to receive. OKLAHOMA defends.",,
1st Quarter Play-by-Play
TCU at 15:00,,OKLA,TCU
,Nick Hodgson kickoff for 65 yds for a touchback,0,0
1st and 10 at TCU 25,Trevone Boykin pass incomplete to Kolby Listenbee,,
2nd and 10 at TCU 25,Trevone Boykin run for 3 yds to the TCU 28,,
3rd and 7 at TCU 28,"Trevone Boykinu"" pass complete to Deante' Gray for 19 yds to the TCU 47 for a 1ST down""",,
,"Timeout OKLAHOMA, clock 14:08",,
1st and 10 at TCU 47,Trevone Boykin run for 4 yds to the Okla 49,,
2nd and 6 at OKLA 49,Trevone Boykin run for 13 yds to the Okla 36 for a 1ST down,,
1st and 10 at OKLA 36,Trevone Boykin pass complete to Josh Doctson for 21 yds to the Okla 15 for a 1ST down,,
1st and 10 at OKLA 15,Trevone Boykin run for 1 yd to the Okla 14,,
2nd and 9 at OKLA 14,Trevone Boykin run for 3 yds to the Okla 11,,
3rd and 6 at OKLA 11,Trevone Boykin pass complete to Josh Doctson for 7 yds to the Okla 4 for a 1ST down,,
1st and Goal at OKLA 4,B.J. Catalon run for 3 yds to the Okla 1,,
2nd and Goal at OKLA 1,B.J. Catalon run for no gain to the Okla 1,,
,"Timeout TCU, clock 10:15",,
3rd and Goal at OKLA 1,"Trevone Boykin run for no gain Trevone Boykin fumbled, recovered by TCU Cliff Murphy for a TD, (Jaden Oberkrom KICK)",0,7
"TCU DRIVE TOTALS: 12 plays, 75 yards, 4:51"
Oklahoma at 10:09,,OKLA,TCU
,Jaden Oberkrom kickoff for 37 yds fair catch by Connor Knight at the Okla 28,0,7
1st and 10 at OKLA 28,Alex Ross run for no gain to the Okla 28,,
2nd and 10 at OKLA 28,Alex Ross run for a loss of 2 yards to the Okla 26,,
3rd and 12 at OKLA 26,Trevor Knight pass incomplete to Durron Neal,,
4th and 12 at OKLA 26,"Jed Barnett punt for 56 yds , Cameron Echols-Luper returns for 17 yds to the TCU 35",,
"OKLA DRIVE TOTALS: 3 plays, -2 yards, 1:31"
TCU at 8:38,,OKLA,TCU
1st and 10 at TCU 35,B.J. Catalon run for a loss of 2 yards to the TCU 33,0,7
2nd and 12 at TCU 33,Trevone Boykin pass incomplete to Josh Doctson,,
3rd and 12 at TCU 33,"Trevone Boykin pass complete to Josh Doctson for 13 yds to the Okla 46 for a 1ST down OKLAHOMA Penalty, Face Mask (15 yards) (Zack Sanchez) to the Okla 39 for a 1ST down",,
1st and 10 at OKLA 39,Trevone Boykin pass incomplete to David Porter,,
2nd and 10 at OKLA 39,"Trevone Boykin pass complete to Josh Doctson for 8 yds to the Okla 31 for a 1ST down OKLAHOMA Penalty, Unnecessary Roughness (Zack Sanchez) to the Okla 16 for a 1ST down",,
1st and 10 at OKLA 16,Trevone Boykin run for 3 yds to the Okla 13,,
2nd and 7 at OKLA 13,Trevone Boykin pass complete to Ty Slanina for 6 yds to the Okla 7,,
3rd and 1 at OKLA 7,B.J. Catalon 7 Yd Run (Jaden Oberkrom Kick),0,14
"TCU DRIVE TOTALS: 8 plays, 65 yards, 2:46"
Oklahoma at 5:52,,OKLA,TCU
,"Jaden Oberkrom kickoff for 44 yds TCU Penalty, Kickoff Out of Bounds (Jaden Oberkrom) to the Okla 35",0,14
1st and 10 at OKLA 35,Trevor Knight pass complete to Sterling Shepard for 53 yds to the TCU 12 for a 1ST down,,
1st and 10 at TCU 12,Samaje Perine run for 1 yd to the TCU 11,,
2nd and 9 at TCU 11,Trevor Knight run for 8 yds to the TCU 3,,
3rd and 1 at TCU 3,Samaje Perine run for 2 yds to the TCU 1 for a 1ST down,,
1st and Goal at TCU 1,Samaje Perine 1 Yd Run (Michael Hunnicutt Kick),7,14
"OKLA DRIVE TOTALS: 5 plays, 65 yards, 1:56"
TCU at 3:56,,OKLA,TCU
,Nick Hodgson kickoff for 65 yds for a touchback,7,14
1st and 10 at TCU 25,Aaron Green run for 4 yds to the TCU 29,,
2nd and 6 at TCU 29,Trevone Boykin pass incomplete to Josh Doctson,,
3rd and 6 at TCU 29,Trevone Boykin pass complete to Aaron Green for 8 yds to the TCU 37 for a 1ST down,,
1st and 10 at TCU 37,"TCU Penalty, False Start (Tayo Fabuluje) to the TCU 32",,
1st and 15 at TCU 32,Trevone Boykin pass complete to Ty Slanina for 9 yds to the TCU 41,,
2nd and 6 at TCU 41,"Boykin, Trevone rush for 3 yards to the TCU44, PENALTY TCU personal foul (Pryor, Matt) 15 yards to the TCU26, NO PLAY.",,
2nd and 21 at TCU 26,Trevone Boykin pass complete to Kolby Listenbee for 34 yds to the Okla 40 for a 1ST down,,
1st and 10 at OKLA 40,"Trevone Boykinu"" pass incomplete to Deante' Gray""",,
