0732015720141129,,732,157
1st Quarter Play-by-Play
Colorado at 14:52,,UTAH,COL
,"Andy Phillips kickoff for 65 yds , Phillip Lindsay return for 25 yds to the Colo 25",0,0
1st and 10 at COLO 25,Tony Jones run for 5 yds to the Colo 30,,
2nd and 5 at COLO 30,"Sefo Liufa,  pass incomplete to Shay Fields",,
3rd and 5 at COLO 30,"Sefo Liufa,  pass complete to Shay Fields for 6 yds to the Colo 36 for a 1ST down",,
1st and 10 at COLO 36,Phillip Lindsay run for a loss of 2 yards to the Colo 34,,
2nd and 12 at COLO 34,"Sefo Liufa,  pass complete to Tyler McCulloch for 19 yds to the Utah 47 for a 1ST down",,
1st and 10 at UTAH 47,Tony Jones run for 7 yds to the Utah 40,,
2nd and 3 at UTAH 40,"Sefo Liufa,  pass complete to Shay Fields for 10 yds to the Utah 30 COLORADO Penalty, Offensive holding (Tyler McCulloch) to the Utah 40",,
,Tony Jones run for no gain to the Utah 40,,
3rd and 3 at UTAH 40,Tony Jones run for 7 yds to the Utah 33 for a 1ST down,,
1st and 10 at UTAH 33,Christian Powell run for 3 yds to the Utah 30,,
2nd and 7 at UTAH 30,"Sefo Liufa,  pass complete to Tyler McCulloch for 28 yds to the Utah 2 for a 1ST down",,
1st and Goal at UTAH 2,"Christian Powell run for 2 yds for a TD, (Will Oliver KICK)",0,7
"COLO DRIVE TOTALS: 12 plays, 75 yards, 5:02"
Utah at 9:50,,UTAH,COL
,Will Oliver kickoff for 65 yds for a touchback,0,7
1st and 10 at UTAH 25,Devontae Booker run for 9 yds to the Utah 34,,
2nd and 1 at UTAH 34,Travis Wilson pass complete to Kaelin Clay for 17 yds to the Colo 49 for a 1ST down,,
1st and 10 at COLO 49,Travis Wilson pass complete to Kaelin Clay for 6 yds to the Colo 43,,
2nd and 4 at COLO 43,Travis Wilson pass incomplete,,
3rd and 4 at COLO 43,Travis Wilson pass incomplete to Westlee Tonga,,
4th and 4 at COLO 43,Tom Hackett punt for 43 yds for a touchback,,
"UTAH DRIVE TOTALS: 5 plays, 32 yards, 1:47"
Colorado at 8:03,,UTAH,COL
1st and 10 at COLO 20,Tony Jones run for 8 yds to the Colo 28,0,7
2nd and 2 at COLO 28,Tony Jones run for a loss of 2 yards to the Colo 26,,
3rd and 4 at COLO 26,"Sefo Liufa,  pass incomplete to Nelson Spruce, broken up by Eric Rowe",,
4th and 4 at COLO 26,"u""Darragh O'Neill"",  punt for 31 yds, punt out-of-bounds at the Utah 47 , Chandler Johnson returns for 4 yds to the Utah 47",,
"COLO DRIVE TOTALS: 3 plays, 6 yards, 1:15"
Utah at 6:48,,UTAH,COL
1st and 10 at UTAH 47,Devontae Booker run for 1 yd to the Utah 48,0,7
2nd and 9 at UTAH 48,Travis Wilson pass incomplete to Kaelin Clay,,
3rd and 9 at UTAH 48,Travis Wilson run for 10 yds to the Colo 42 for a 1ST down,,
1st and 10 at COLO 42,Devontae Booker run for 3 yds to the Colo 39,,
2nd and 7 at COLO 39,Devontae Booker run for 2 yds to the Colo 37,,
3rd and 5 at COLO 37,Travis Wilson pass incomplete,,
4th and 5 at COLO 37,Travis Wilson pass complete to Kaelin Clay for 8 yds to the Colo 29 for a 1ST down,,
1st and 10 at COLO 29,"UTAH Penalty, false start (Kaelin Clay) to the Colo 34",,
1st and 15 at COLO 34,Travis Wilson pass complete to Kaelin Clay for 1 yd to the Colo 33,,
2nd and 14 at COLO 33,Travis Wilson run for 7 yds to the Colo 26,,
3rd and 7 at COLO 26,Travis Wilson run for 2 yds to the Colo 24,,
4th and 5 at COLO 24,Andy Phillips 41 yd FG GOOD,3,7
"UTAH DRIVE TOTALS: 11 plays, 29 yards, 4:51"
Colorado at 1:57,,UTAH,COL
,Andy Phillips kickoff for 65 yds for a touchback,3,7
1st and 10 at COLO 25,Donovan Lee run for a loss of 11 yards to the Colo 14,,
2nd and 21 at COLO 14,"Sefo Liufa,  pass complete to Nelson Spruce for 8 yds to the Colo 22",,
3rd and 13 at COLO 22,"Sefo Liufa,  pass incomplete",,
4th and 13 at COLO 22,"u""Darragh O'Neill"",  punt for 41 yds , Kaelin Clay returns for 19 yds to the Colo 44",,
"COLO DRIVE TOTALS: 3 plays, -3 yards, 1:40"
Utah at 0:17,,UTAH,COL
1st and 10 at COLO 44,Devontae Booker run for 10 yds to the Colo 34 for a 1ST down,3,7
,End of 1st Quarter,,
2nd Quarter Play-by-Play
Utah at 15:00,,UTAH,COL
1st and 10 at COLO 34,"Travis Wilson pass complete to Kaelin Clay for 34 yds for a TD, (Andy Phillips KICK)",10,7
"UTAH DRIVE TOTALS: 2 plays, 44 yards, 0:23"
Colorado at 14:47,,UTAH,COL
,"Andy Phillips kickoff for 53 yds , Ryan Severson return for 23 yds to the Colo 35",10,7
1st and 10 at COLO 35,Tony Jones run for 3 yds to the Colo 38,,
2nd and 7 at COLO 38,Tony Jones run for 6 yds to the Colo 44,,
3rd and 1 at COLO 44,"Sefo Liufa,  run for 3 yds to the Colo 47 for a 1ST down",,
1st and 10 at COLO 47,"Sefo Liufa,  pass complete to Shay Fields for 52 yds to the Utah 1 for a 1ST down",,
,"Timeout COLORADO, clock 13:10",,
1st and Goal at UTAH 1,"Christian Powell run for 1 yd for a TD, (Will Oliver KICK)",10,14
"COLO DRIVE TOTALS: 5 plays, 65 yards, 1:41"
