0028002920141128,,28,29
1st Quarter Play-by-Play
Arizona State at 15:00,,ASU,UA
,Casey Skowron kickoff for 65 yds for a touchback,0,0
1st and 10 at ASU 25,Demario Richard run for 1 yd to the ArzSt 26,,
2nd and 9 at ASU 26,Taylor Kelly pass incomplete to D.J. Foster,,
3rd and 9 at ASU 26,Anthony Lopez 25 Yd Fumble Return (Casey Skowron Kick),0,7
"ASU DRIVE TOTALS: 3 plays, 0 yards, 0:44"
Arizona State at 14:16,,ASU,UA
,Casey Skowron kickoff for 65 yds for a touchback,0,7
1st and 10 at ASU 25,Taylor Kelly run for 5 yds to the ArzSt 30,,
2nd and 5 at ASU 30,"ARIZONA ST Penalty, False Start (Tyler Sulka) to the ArzSt 25",,
2nd and 10 at ASU 25,Demario Richard run for 2 yds to the ArzSt 27,,
3rd and 8 at ASU 27,Deantre Lewis run for 23 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Taylor Kelly pass complete to Cameron Smith for 8 yds to the Ariz 42,,
2nd and 2 at ARIZ 42,Taylor Kelly run for a loss of 3 yards to the Ariz 45,,
3rd and 5 at ARIZ 45,Taylor Kelly pass incomplete to Jaelen Strong,,
,"Timeout ARIZONA, clock 11:13",,
4th and 5 at ARIZ 45,"Matt Haacku"" punt for 27 yds, fair catch by DaVonte' Neal at the Ariz 18""",,
"ASU DRIVE TOTALS: 6 plays, 30 yards, 3:10"
Arizona at 11:06,,ASU,UA
1st and 10 at ARIZ 18,Nick Wilson run for no gain to the Ariz 18,0,7
2nd and 10 at ARIZ 18,Anu Solomon run for no gain to the Ariz 18,,
3rd and 10 at ARIZ 18,Anu Solomon sacked by Armand Perry for a loss of 15 yards to the Ariz 3,,
4th and 25 at ARIZ 3,"Drew Riggleman punt for 25 yds, punt out-of-bounds at the Ariz 28",,
"ARIZ DRIVE TOTALS: 3 plays, -15 yards, 1:44"
Arizona State at 9:22,,ASU,UA
1st and 10 at ARIZ 28,D.J. Foster run for 4 yds to the Ariz 24,0,7
2nd and 6 at ARIZ 24,Taylor Kelly pass incomplete to Jaelen Strong,,
3rd and 6 at ARIZ 24,Taylor Kelly pass complete to Jaelen Strong for 21 yds to the Ariz 3 for a 1ST down,,
1st and Goal at ARIZ 3,Taylor Kelly run for 2 yds to the Ariz 1,,
2nd and Goal at ARIZ 1,D.J. Foster run for no gain to the Ariz 1,,
3rd and Goal at ARIZ 1,Taylor Kelly run for no gain to the Ariz 1,,
4th and Goal at ARIZ 1,D.J. Foster run for a loss of 1 yard to the Ariz 2,,
"ASU DRIVE TOTALS: 7 plays, 26 yards, 2:27"
Arizona at 6:55,,ASU,UA
1st and 10 at ARIZ 2,Nick Wilson run for no gain to the Ariz 2,0,7
2nd and 10 at ARIZ 2,Anu Solomon pass incomplete,,
3rd and 10 at ARIZ 2,Anu Solomon pass complete to Austin Hill for 13 yds to the Ariz 15 for a 1ST down,,
1st and 10 at ARIZ 15,Demetrius Cherry 2 Yd Fumble Return (Zane Gonzalez Kick),7,7
"ARIZ DRIVE TOTALS: 4 plays, 0 yards, 0:59"
Arizona at 5:56,,ASU,UA
,Alex Garoutte kickoff for 50 yds for a touchback,7,7
1st and 10 at ARIZ 25,Nick Wilson run for 8 yds to the Ariz 33,,
2nd and 2 at ARIZ 33,"Anu Solomon pass complete to u""DaVonte' Neal"",  for a loss of 2 yards to the Ariz 31",,
