0574069720140913,,574,697
,"RICE wins the coin toss, and will receive.",,
1st Quarter Play-by-Play
Rice at 15:00,,RICE,TA&M
,"Taylor Bertolet kickoff for 65 yds , Malcolm Hill return for 18 yds to the Rice 18",0,0
1st and 10 at RICE 18,Jowan Davis run for 4 yds to the Rice 22,,
2nd and 6 at RICE 22,Jowan Davis run for 5 yds to the Rice 27,,
3rd and 1 at RICE 27,Darik Dillard run for 16 yds to the Rice 43 for a 1ST down,,
1st and 10 at RICE 43,Darik Dillard run for 3 yds to the Rice 46,,
2nd and 7 at RICE 46,Jowan Davis run for 3 yds to the Rice 49,,
3rd and 4 at RICE 49,Driphus Jackson pass complete to Darik Dillard for 3 yds to the TexAM 48,,
4th and 1 at TA&M 48,"RICE Penalty, Delay of Game (-5 Yards) to the Rice 47",,
4th and 6 at RICE 47,James Farrimond punt for 53 yds for a touchback,,
"RICE DRIVE TOTALS: 6 plays, 29 yards, 3:24"
Texas A&M at 11:36,,RICE,TA&M
1st and 10 at TA&M 20,Kenny Hill pass incomplete to Josh Reynolds,0,0
2nd and 10 at TA&M 20,"Kenny Hill sacked by Dylan Klare for a loss of 17 yards to the TexAM 3 TEXAS A&M Penalty, Intentional Grounding (Kenny Hill) to the TexAM 3",,
3rd and 27 at TA&M 3,Kenny Hill pass incomplete,,
4th and 27 at TA&M 3,"Drew Kaser punt for 37 yds, downed at the TexAM 40",,
"TAMU DRIVE TOTALS: 3 plays, -17 yards, 0:33"
Rice at 11:03,,RICE,TA&M
1st and 10 at TA&M 40,Driphus Jackson run for 15 yds to the TexAM 25 for a 1ST down,0,0
1st and 10 at TA&M 25,Driphus Jackson pass complete to Dennis Parks for 2 yds to the TexAM 23,,
2nd and 8 at TA&M 23,Driphus Jackson pass complete to Mario Hull for 7 yds to the TexAM 16,,
3rd and 1 at TA&M 16,Driphus Jackson pass complete to Dennis Parks for 3 yds to the TexAM 13 for a 1ST down,,
1st and 10 at TA&M 13,Driphus Jackson run for 4 yds to the TexAM 9,,
2nd and 6 at TA&M 9,Darik Dillard run for 4 yds to the TexAM 5,,
3rd and 2 at TA&M 5,Darik Dillard run for 1 yd to the TexAM 4,,
4th and 1 at TA&M 4,James Hairston 22 yd FG MISSED,,
"RICE DRIVE TOTALS: 8 plays, 36 yards, 3:37"
Texas A&M at 7:26,,RICE,TA&M
1st and 10 at TA&M 20,Tra Carson run for 6 yds to the TexAM 26,0,0
2nd and 4 at TA&M 26,Tra Carson run for 4 yds to the TexAM 30 for a 1ST down,,
1st and 10 at TA&M 30,Kenny Hill pass incomplete,,
2nd and 10 at TA&M 30,Brandon Williams run for 4 yds to the TexAM 34,,
3rd and 6 at TA&M 34,Kenny Hill pass complete to Edward Pope for 6 yds to the TexAM 40 for a 1ST down,,
1st and 10 at TA&M 40,Brandon Williams run for 1 yd to the TexAM 41,,
2nd and 9 at TA&M 41,Kenny Hill pass complete to Malcome Kennedy for 13 yds to the Rice 46 for a 1ST down,,
1st and 10 at RICE 46,Kenny Hill pass complete to Malcome Kennedy for 3 yds to the Rice 43,,
2nd and 7 at RICE 43,"RICE Penalty, Defensive Offside (5 Yards) to the Rice 38",,
2nd and 2 at RICE 38,Kenny Hill pass complete to Trey Williams for 6 yds to the Rice 32 for a 1ST down,,
1st and 10 at RICE 32,Tra Carson run for 4 yds to the Rice 28,,
2nd and 6 at RICE 28,Kenny Hill run for 7 yds to the Rice 21 for a 1ST down,,
1st and 10 at RICE 21,Tra Carson run for 7 yds to the Rice 14,,
,"Timeout RICE, clock 03:41",,
2nd and 3 at RICE 14,"Kenny Hill pass complete to Speedy Noil for 14 yds for a TD, (Josh Lambo KICK)",0,7
"TAMU DRIVE TOTALS: 13 plays, 80 yards, 3:50"
Rice at 3:36,,RICE,TA&M
,Taylor Bertolet kickoff for 65 yds for a touchback,0,7
1st and 10 at RICE 25,Jowan Davis run for 5 yds to the Rice 30,,
2nd and 5 at RICE 30,Jowan Davis run for 3 yds to the Rice 33,,
,"Timeout RICE, clock 02:24",,
3rd and 2 at RICE 33,Driphus Jackson pass complete to Cole Hunt for 18 yds to the TexAM 49 for a 1ST down,,
1st and 10 at TA&M 49,Jowan Davis run for 12 yds to the TexAM 37 for a 1ST down,,
1st and 10 at TA&M 37,Jowan Davis run for 4 yds to the TexAM 33,,
2nd and 6 at TA&M 33,Jowan Davis run for a loss of 2 yards to the TexAM 35,,
3rd and 8 at TA&M 35,Driphus Jackson run for 5 yds to the TexAM 30,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
Rice at 15:00,,RICE,TA&M
4th and 3 at TA&M 30,Darik Dillard run for a loss of 1 yard to the TexAM 31,0,7
"RICE DRIVE TOTALS: 8 plays, 44 yards, 3:42"
Texas A&M at 14:54,,RICE,TA&M
1st and 10 at TA&M 31,Brandon Williams run for a loss of 2 yards to the TexAM 29,0,7
2nd and 12 at TA&M 29,Kenny Hill pass complete to Ricky Seals-Jones for 13 yds to the TexAM 42 for a 1ST down,,
1st and 10 at TA&M 42,Brandon Williams run for 27 yds to the Rice 31 for a 1ST down,,
1st and 10 at RICE 31,Kenny Hill pass incomplete to Sabian Holmes,,
2nd and 10 at RICE 31,Kenny Hill pass complete to Speedy Noil for 18 yds to the Rice 13 for a 1ST down,,
1st and 10 at RICE 13,"Kenny Hill pass complete to Ricky Seals-Jones for 13 yds for a TD, (Josh Lambo KICK)",0,14
"TAMU DRIVE TOTALS: 6 plays, 69 yards, 1:10"
Rice at 13:44,,RICE,TA&M
,Taylor Bertolet kickoff for 65 yds for a touchback,0,14
1st and 10 at RICE 25,Jowan Davis run for 7 yds to the Rice 32,,
2nd and 3 at RICE 32,Driphus Jackson pass incomplete to Mario Hull,,
3rd and 3 at RICE 32,Driphus Jackson pass complete to Jowan Davis for 17 yds to the Rice 49 for a 1ST down,,
