Game_Code,Play_Number,Period_Number,Drive_Start,Offense,Defense,Off_Points,Def_Points,Down,Distance,Spot,Play_Type,Drive_Number,Drive_Play,Play_Desc,Play_Result,Yards_Gained,Off_Touchdown,Def_Touchdown,First_Down,Completion,Interception,Fumble,Fumble_Lost,Kick_Good,TwoPt_Good,Safety,Kick_Yards,Touchback,Kickoff_OOB,Kickoff_Onsides,Kick_Blocked,Penalty,Penalty_Type,No_Play,Rusher,Passer,Receiver,Kicker,Forced_Fum,Interceptor,Sacker,Extra_Pt_Att,TwoPt_Att
660433,1,1,900,66,433,0,0,1,10,81,RUSH,1,1,Jay Ajayi run for 13 yds to the t66 32 for a 1ST down,,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jay Ajayi,,,,,,,0,0
660433,2,1,900,66,433,0,0,1,10,68,RUSH,1,2,Grant Hedrick run for 4 yds to the t66 36,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grant Hedrick,,,,,,,0,0
660433,3,1,900,66,433,0,0,2,6,64,PASS,1,3,Grant Hedrick pass complete to Shane Williams-Rhodes for 2 yds to the t66 38,,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Grant Hedrick,Shane Williams-Rhodes,,,,,0,0
660433,4,1,900,66,433,0,0,3,4,62,PASS,1,4,Grant Hedrick pass complete to Jay Ajayi for 3 yds to the t66 41,,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Grant Hedrick,Jay Ajayi,,,,,0,0
660433,5,1,900,433,66,0,0,1,20,82,PASS,2,1,Bo Wallace pass complete to Evan Engram for 9 yds to the t433 27,,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Bo Wallace,Evan Engram,,,,,0,0
660433,6,1,900,433,66,0,0,2,11,73,PASS,2,2,"Bo Wallace pass complete to Laquon Treadwell for 2 yds to the t433 29 for a 1ST down BOISE ST Penalty, Personal Foul (TEAM) to the t433 44 for a 1ST down",,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Bo Wallace,Laquon Treadwell,,,,,0,0
660433,7,1,900,433,66,0,0,1,10,56,PASS,2,3,Bo Wallace pass complete to Cody Core for 5 yds to the t433 49,,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Bo Wallace,Cody Core,,,,,0,0
660433,8,1,900,433,66,0,0,2,5,51,RUSH,2,4,Bo Wallace run for 4 yds to the t66 47,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bo Wallace,,,,,,,0,0
660433,9,1,900,433,66,0,0,3,1,47,PASS,2,5,Bo Wallace pass complete to Cody Core for no gain to the t66 47,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Bo Wallace,Cody Core,,,,,0,0
660433,10,1,772,66,433,0,0,1,10,89,RUSH,3,1,Grant Hedrick run for 5 yds to the t66 16,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grant Hedrick,,,,,,,0,0
660433,11,1,772,66,433,0,0,2,5,84,PASS,3,2,Grant Hedrick pass complete to Jake Roh for 20 yds to the t66 36 for a 1ST down,,20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Grant Hedrick,Jake Roh,,,,,0,0
660433,12,1,772,66,433,0,0,1,10,64,PASS,3,3,Grant Hedrick pass incomplete,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Grant Hedrick,,,,,,0,0
660433,13,1,772,66,433,0,0,2,10,64,PASS,3,4,Grant Hedrick pass complete to Shane Williams-Rhodes for 5 yds to the t66 41,,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Grant Hedrick,Shane Williams-Rhodes,,,,,0,0
660433,14,1,772,66,433,0,0,1,10,54,RUSH,3,5,Jay Ajayi run for a loss of 2 yards to the t66 44,,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jay Ajayi,,,,,,,0,0
660433,15,1,772,66,433,0,0,2,12,56,PASS,3,6,Grant Hedrick pass incomplete,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Grant Hedrick,,,,,,0,0
660433,16,1,772,66,433,0,0,3,12,56,PASS,3,7,Grant Hedrick pass complete to Jay Ajayi for no gain to the t66 44,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Grant Hedrick,Jay Ajayi,,,,,0,0
660433,17,1,900,433,66,0,0,1,10,74,PASS,4,1,Bo Wallace pass intercepted Jeremy Ioane return for no gain to the t66 46,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Bo Wallace,,,,Jeremy Ioane,,0,0
660433,18,1,642,66,433,0,0,1,15,59,PASS,5,1,Grant Hedrick pass complete to Jay Ajayi for 32 yds to the t433 27 for a 1ST down,,32,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Grant Hedrick,Jay Ajayi,,,,,0,0
660433,19,1,642,66,433,0,0,1,10,27,PASS,5,2,Grant Hedrick pass complete to Shane Williams-Rhodes for a loss of 3 yards to the t433 30,,-3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Grant Hedrick,Shane Williams-Rhodes,,,,,0,0
660433,20,1,642,66,433,0,0,2,13,30,PASS,5,3,"Grant Hedrick pass complete to Matt Miller for 22 yds to the t433 8 for a 1ST down t433 Penalty, Personal Foul (Serderius Bryant) to the t433 4 for a 1ST down",,22,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Grant Hedrick,Matt Miller,,,,,0,0
660433,21,1,642,66,433,0,0,1,4,4,RUSH,5,4,"Jay Ajayi run for no gain to the t433 4 Jay Ajayi fumbled, recovered by t66",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Jay Ajayi,,,,,,,0,0
660433,22,1,642,66,433,0,0,2,4,4,RUSH,5,5,Grant Hedrick run for 1 yd to the t433 3,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grant Hedrick,,,,,,,0,0
660433,23,1,642,66,433,0,0,3,3,3,PASS,5,6,"Grant Hedrick pass intercepted, touchback. Senquez Golson return for no gain",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Grant Hedrick,,,,", touchback. Senquez Golson",,0,0
660433,24,1,900,433,66,0,0,1,10,80,RUSH,6,1,I'Tavius Mathers run for a loss of 1 yard to the t433 19,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I'Tavius Mathers,,,,,,,0,0
660433,25,1,900,433,66,0,0,2,11,81,PASS,6,2,Bo Wallace pass complete to Vince Sanders for 16 yds to the t433 35 for a 1ST down,,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Bo Wallace,Vince Sanders,,,,,0,0
660433,26,1,900,433,66,0,0,1,15,70,PASS,6,3,Bo Wallace pass complete to Evan Engram for 10 yds to the t433 40,,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Bo Wallace,Evan Engram,,,,,0,0
660433,27,1,900,433,66,0,0,2,5,60,RUSH,6,4,I'Tavius Mathers run for 5 yds to the t433 45 for a 1ST down,,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I'Tavius Mathers,,,,,,,0,0
660433,28,1,900,433,66,0,0,1,15,60,RUSH,6,5,I'Tavius Mathers run for a loss of 1 yard to the t433 39,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I'Tavius Mathers,,,,,,,0,0
660433,29,1,900,433,66,0,0,2,16,61,PASS,6,6,Bo Wallace pass incomplete to Evan Engram,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Bo Wallace,Evan Engram,,,,,0,0
660433,30,1,900,433,66,0,0,3,21,66,PASS,6,7,Bo Wallace pass complete to Vince Sanders for 20 yds to the t66 46,,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Bo Wallace,Vince Sanders,,,,,0,0
